SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(N(C(C)C1CC1)Cc1ccc(OC)cc1)CCCn1c2C(=O)N(C)C(=O)N(C)c2nc1;Z297090896;27
O=C(c1ccc(O)cc1)C1CCN(c2nc3nc[nH]c3cn2)CC1;Z3558033634;27
O(C)c1ccc(CN(C(CCCO)C)c2ncnc3n(CC)cnc23)cc1;Z2771469942;27
O(C)c1ccc(CN(C(CCCO)C)c2nc3n(C)cnc3cn2)cc1;Z3829965943;27
O=C1N(C)C(=O)c2n(C)c(N3C[C@@H]([C@H](C)CC3)c3ccc(O)cc3)nc2N1C;Z3561932962;27
Oc1ccc([C@@H]2[C@H](C)CCN(c3nc4n(C)cnc4cn3)C2)cc1;Z3830651345;27
O=C(Nc1c(C(=O)N2CCCCC2)cc(OC)c(OC)c1)Cn1c2ncnc(N)c2nc1;Z1324954000;27
O(C)c1ccc(CC2CCN(c3[nH]c4N(C)C(=O)NC(=O)c4n3)CC2)cc1;Z3556860458;27
O=C(N(Cc1c(OC)ccc2c1cccc2)C1CCCC1)CCn1c2C(=O)N(C)C(=O)N(C)c2nc1;Z1090692042;27
O=C(CCc1ccc(OC)cc1)N1CCN(c2[nH]c3C(=O)N(C)C(=O)N(C)c3n2)CC1;Z2157579577;27
O(C)c1ccc(C2C(C)CCN(c3ncnc4n(CC)cnc34)C2)cc1;s_27____16893182____2548042;27
O=C(NC1C2C(CN(c3ncnc4n(CC)cnc34)C2)C1)C1(OC)CC1;m_274310____15937524____15941572____12359766;27
O=C(N(Cc1ccc(O)cc1)CC1N(CC)CCC1)CN(C)c1ncnc2nc[nH]c12;Z1560342799;28
O=C(Cn1c2ncnc(N)c2nc1)N1C(c2ccc(OC)cc2)CC(C)C1;Z1442982594;28
O=C(Nc1cc2c(N(CC3CCC3)C(=O)CC2)cc1)Cn1c2ncnc(N)c2nc1;Z1748340387;28
O=C(NC(CN1CCCC1)c1ccc(OC)cc1)Cn1c2ncnc(N)c2nc1;Z1625620706;28
O=C(NC1C(=O)N(Cc2c(OC)cc(OC)cc2)CC1)Cn1c2ncnc(N)c2nc1;Z2100402138;28
