SMILES of Virtual Hit Molecule;Enamine ID;Rank
Clc1cc2C(=O)C=C(C(=O)N3C(C(=O)CCC(=O)OC)CCC3)Oc2cc1;Z3209549898;60
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2C(C1)CCC(N(C)C)C2;Z3176691424;60
Brc1cc2C(=O)C=C(C(=O)N3[C@H](CO)C[C@H]4[C@@H]3CCC4)Oc2cc1;Z3588358716;60
O=C(CC)N1CC(O)(C(NC(=O)C=2Oc3c(C(=O)C=2)cccc3)C)C1;m_275592____15865374____14135622____13186202;60
Fc1cc2OC(C(=O)OC(C(=O)N(Cc3ccc(OC)cc3)C)C(C)C)=CC(=O)c2cc1;Z2081186863;60
O=C(COC)N1CC(C(NC(=O)C=2Oc3c(C(=O)C=2)cccc3)C)CC1;m_275592____14114984____13186896____14129018;60
O=C(C(NC(=O)C1=C(C)C(=O)c2c(O1)cccc2)C(C)C)N1CCCCC1;Z3867509004;60
O=C(NC(CC1COCC1)C)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3990785838;60
Clc1cc2OC(C(=O)N3C(C(=O)OC)CC4(C3)CCC4)=CC(=O)c2cc1;Z3625779712;61
Clc1cc2OC(C(=O)N3CC(O)(CC#N)CC3)=CC(=O)c2cc1;Z2457682016;61
O=C(Nc1cc2C(=O)C=COc2cc1)N1C2C3(C(C)(C)C(C2)CC3)CC1;s_2430____13770670____14597920;61
Brc1cc2OC(C(=O)N3[C@@H]4[C@H](COC)C[C@H]3CC4)=CC(=O)c2cc1;Z3988844407;61
Brc1cc2OC(C(=O)N3C[C@@H]4[C@H](OC)CC[C@@H]4C3)=CC(=O)c2cc1;Z3896194510;61
O=C(OC(C)(C)C)NC(C)C1N(C(=O)c2cc3OC=CC(=O)c3cc2)CCCC1;Z1994304496;61
O=C(NC1(CO)CN(C(=O)C=2Oc3c(C(=O)C=2)cccc3)C1)CCCC;m_275592____15865366____13187034____14129018;61
O=C(N1[C@@H]2[C@H]([C@H](OC)C1)COC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992784737;61
O=C(N1CC2(OC(C)(C)C(=O)N2)CCC1)c1cc2OC=CC(=O)c2cc1;Z3651337353;61
Brc1cc2C(=O)C=C(C(=O)N3CCC(COC)CCC3)Oc2cc1;Z2356215202;61
O=C(NC1CCN(C(=O)c2c(O)cccc2)CC1)c1cc2OC=CC(=O)c2cc1;Z1996766199;61
Clc1cc2C(=O)C=C(C(=O)NC3(CO)C4CC5CC3CC(C4)C5)Oc2cc1;Z2350122021;62
Fc1cc2OC(C(=O)N3C(C(=O)OC)(COC)CCCC3)=CC(=O)c2cc1;Z2817958473;62
Brc1cc2C(=O)C=C(C(=O)N3CC4C(O)CC(C3)C4)Oc2cc1;Z3855298058;62
Clc1cc2OC(C(=O)NC3(CO)C4C(C4)CCC3)=CC(=O)c2cc1;s_22____15780462____11355434;62
Clc1cc2C(=O)C=C(C(=O)NC3(CO)CC(C)(C)CC(C)C3)Oc2cc1;Z1680941194;62
O=C(N1CCC(O)(Cc2c(C)cccc2)CC1)c1cc2OC=CC(=O)c2cc1;Z3601821599;62
O=C(N1C2(CC(C)(C)OCC2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z4028981766;62
O=C(N1[C@@H]2[C@H](C1)C[C@@H](CO)C2)c1cc2OC=CC(=O)c2cc1;Z3586329154;62
Clc1cc2C(=O)C=C(C(=O)NCC3(Cc4ccc(F)cc4)C(O)CCC3)Oc2cc1;Z1867056843;63
Fc1cc2OC(C(=O)N3C(C(C)(C)C3)C3OCCC3)=CC(=O)c2cc1;Z2178086967;63
